Description,Full Address,Value,Type,Base,Offset
P1_A_Hitstop2,2C2684E0,0,Byte,2C268340,1A0
P1_B_Hitstop2,2C269028,0,Byte,2C268E88,1A0
P1_C_Hitstop2,2C269B70,0,Byte,2C2699D0,1A0
P2_A_Hitstop2,2C268A84,0,Byte,2C2688E4,1A0
P2_B_Hitstop2,2C2695CC,0,Byte,2C26942C,1A0
P2_C_Hitstop2,2C26A114,0,Byte,2C269F74,1A0
Hyper_Armor,,,,,
P1_A_Hyper_Armor,2C268542,0,Byte,2C268340,202
P1_B_Hyper_Armor,2C26908A,0,Byte,2C268E88,202
P1_C_Hyper_Armor,2C269BD2,0,Byte,2C2699D0,202
P2_A_Hyper_Armor,2C268AE6,0,Byte,2C2688E4,202
P2_B_Hyper_Armor,2C26962E,0,Byte,2C26942C,202
P2_C_Hyper_Armor,2C26A176,0,Byte,2C269F74,202
ID_2,,,,,
P1_A_ID_2,2C268341,38,Byte,2C268340,1
P1_B_ID_2,2C268E89,14,Byte,2C268E88,1
P1_C_ID_2,2C2699D1,2,Byte,2C2699D0,1
P2_A_ID_2,2C2688E5,12,Byte,2C2688E4,1
P2_B_ID_2,2C26942D,44,Byte,2C26942C,1
P2_C_ID_2,2C269F75,53,Byte,2C269F74,1
Idle_Hover,,,,,
P1_A_Idle_Hover,2C268543,0,Byte,2C268340,203
P1_B_Idle_Hover,2C26908B,0,Byte,2C268E88,203
P1_C_Idle_Hover,2C269BD3,0,Byte,2C2699D0,203
P2_A_Idle_Hover,2C268AE7,0,Byte,2C2688E4,203
P2_B_Idle_Hover,2C26962F,1,Byte,2C26942C,203
P2_C_Idle_Hover,2C26A177,0,Byte,2C269F74,203
Is_Active,,,,,
P1_A_Is_Active,2C268340,1,Byte,2C268340,0
P1_B_Is_Active,2C268E88,0,Byte,2C268E88,0
P1_C_Is_Active,2C2699D0,0,Byte,2C2699D0,0
P2_A_Is_Active,2C2688E4,1,Byte,2C2688E4,0
P2_B_Is_Active,2C26942C,0,Byte,2C26942C,0
P2_C_Is_Active,2C269F74,0,Byte,2C269F74,0
Is_Point,,,,,
P1_A_Is_Point,2C268751,0,Byte,2C268340,411
P1_B_Is_Point,2C269299,1,Byte,2C268E88,411
P1_C_Is_Point,2C269DE1,2,Byte,2C2699D0,411
P2_A_Is_Point,2C268CF5,0,Byte,2C2688E4,411
P2_B_Is_Point,2C26983D,1,Byte,2C26942C,411
P2_C_Is_Point,2C26A385,2,Byte,2C269F74,411
Is_ProxBlock,,,,,
